Player,team,TS%,TSA,Usage,Scoring Possessions,Possessions,Floor Percentage,MIN_player
Jamie Watson,76ers,51.89,845.12,17.91,5.56,11.54,48.17,2579
Derek Anderson,76ers,57.66,86.72,18.74,2.15,3.88,55.46,249
Kerry Kittles,76ers,54.71,11.88,25.51,1.12,2.43,45.96,49
Darrell Armstrong,76ers,47.67,829.68,15.74,8.42,15.48,54.36,2828
C.J. Bruton,76ers,40.09,203.28,10.38,1.73,3.96,43.81,938
Charles Smith,Raptors,55.61,1293.72,24.98,10.35,19.55,52.92,2316
Mark Bradtke,Raptors,41.94,267.04,19.73,3.46,8.41,41.18,677
Erik Meek,Raptors,46.63,403.2,14.11,2.69,5.81,46.29,1866
John Shasky,Raptors,44.67,144.4,9.87,1.97,4.32,45.52,856
Hank Gathers,Raptors,50.82,1794.48,24.09,10.04,19.7,51.0,2844
Mark Alarie,Raptors,53.99,978.8,19.08,5.68,10.61,53.58,2424
Kebu Stewart,Raptors,54.35,69.0,10.98,1.28,2.4,53.38,336
Frank Kornet,Raptors,53.52,397.08,22.68,3.19,6.04,52.88,1035
Brian Quinnett,Raptors,57.15,1817.2,21.72,12.53,22.4,55.96,2685
Aaron McKie,Raptors,50.82,718.28,17.61,4.23,8.77,48.23,2145
Kenny Smith,Raptors,52.52,1061.56,18.72,9.29,16.9,54.99,2850
Cory Alexander,Raptors,46.74,336.96,18.62,3.2,6.57,48.68,1314
Marcus Camby,Hawks,43.96,1040.8,21.68,5.6,13.05,42.9,2556
Bison Dele,Hawks,49.63,509.8,23.51,3.16,6.36,49.65,1115
Kelvin Cato,Hawks,47.55,849.64,19.33,5.01,10.33,48.52,2162
Brian Grant,Hawks,40.26,53.4,24.74,3.84,9.97,38.49,149
Mario Bennett,Hawks,48.56,709.4,17.52,4.28,8.8,48.62,2172
Brett Roberts,Hawks,55.03,1162.12,22.01,9.24,18.16,50.9,2188
Ed O'Bannon,Hawks,49.65,183.28,11.21,1.15,2.52,45.74,862
Ryan Minor,Hawks,40.91,22.0,18.45,0.59,1.86,31.66,63
Allan Houston,Hawks,53.15,1132.68,20.19,7.29,14.87,49.0,2526
Harold Miner,Hawks,50.03,541.72,22.74,3.21,6.42,50.01,1231
Rod Strickland,Hawks,56.06,822.4,17.59,9.61,17.58,54.67,2308
Mahmoud Abdul-Rauf,Hawks,49.04,97.88,13.1,7.1,13.15,53.94,296
Troy Hudson,Hawks,63.81,26.64,21.36,1.45,3.02,47.88,80
Randolph Childress,Hawks,54.61,354.36,22.78,3.04,7.13,42.65,1013
Rik Smits,Hornets,48.47,1491.72,24.31,8.59,17.49,49.14,2760
Felton Spencer,Hornets,42.64,501.88,13.59,2.94,6.96,42.2,2050
Fabricio Oberto,Hornets,47.14,536.72,17.69,3.24,6.65,48.72,1510
Lorenzo Williams,Hornets,55.76,553.24,27.41,4.03,7.7,52.37,1158
Walter McCarty,Hornets,33.33,6.0,8.22,0.61,1.84,33.21,20
Walt Williams,Hornets,52.6,1153.96,20.87,6.96,14.79,47.05,2727
Chris Crawford,Hornets,62.19,16.08,9.68,0.67,1.16,57.75,55
Marko Milic,Hornets,61.5,79.68,7.95,1.29,2.76,46.86,603
Eddie Jones,Hornets,57.58,140.68,15.52,1.4,2.86,48.87,518
Wesley Person,Hornets,56.63,1245.0,22.33,9.03,17.6,51.29,2320
Bobby Hurley,Hornets,54.21,830.04,20.46,6.45,12.64,51.04,2138
Jim Brogan,Hornets,53.97,1113.6,21.8,8.07,15.31,52.72,2478
