Player,team,TS%,TSA,Usage,Scoring Possessions,Possessions,Floor Percentage,MIN_player
Duane Causwell,Celtics,50.41,640.76,17.32,4.81,9.54,50.36,1834
Otis Thorpe,Celtics,43.05,527.24,13.62,2.85,7.36,38.77,2279
Mark Alarie,Celtics,48.3,1313.72,21.09,6.54,13.35,49.02,3059
Keith Hughes,Celtics,49.01,618.24,14.6,3.47,7.07,49.1,2173
Abdul Shamsid-Deen,Celtics,49.5,174.76,12.03,1.55,3.48,44.54,704
Oscar Schmidt,Celtics,57.65,1476.96,26.69,10.35,18.57,55.72,2568
Reggie Turner,Celtics,49.39,259.16,12.92,1.43,3.37,42.43,1180
Byron Scott,Celtics,51.93,1926.48,29.67,10.42,21.84,47.71,3227
John Drew,Celtics,51.31,268.96,19.22,2.34,4.94,47.5,728
Von McDade,Celtics,100.0,2.0,13.03,0.48,0.98,48.82,12
Craig Hodges,Celtics,50.72,1202.64,21.4,8.55,16.74,51.06,2953
Bimbo Coles,Celtics,47.9,480.2,21.0,3.12,6.53,47.81,1302
Elden Campbell,Heat,45.0,1395.64,27.29,7.53,16.53,45.54,2646
Luc Longley,Heat,45.62,1193.44,23.75,6.33,13.73,46.13,2596
Vladimir Tkachenko,Heat,50.42,615.8,16.44,3.16,6.37,49.68,1852
Luke Chen,Heat,69.44,2.88,13.33,0.58,1.09,53.34,14
Eddie Lee Wilkins,Heat,39.57,70.76,20.04,0.72,1.86,38.45,175
Cliff Robinson,Heat,47.56,790.64,16.3,4.22,9.35,45.15,2638
Bryan Buckner,Heat,50.27,552.96,19.53,3.62,7.49,48.29,1517
Brian Oliver,Heat,53.15,815.56,15.93,5.05,10.24,49.27,2677
Jimmy Oliver,Heat,51.52,188.28,14.21,2.34,4.55,51.37,624
Sam Mitchell,Heat,44.7,92.84,17.95,0.61,1.55,39.33,330
Jim Paxson,Heat,48.66,479.88,13.5,3.08,6.03,51.1,1805
Terry Porter,Heat,50.34,1119.36,22.65,8.83,18.88,46.77,2980
Keith Smart,Heat,44.97,81.16,18.17,1.32,2.86,46.04,300
Benoit Benjamin,Nets,43.36,688.44,13.94,3.29,8.69,37.85,2827
Mark Bryant,Nets,39.58,51.8,13.0,0.62,1.57,39.75,176
Kenny Gattison,Nets,48.18,627.84,13.53,3.16,7.08,44.63,2388
Rob Lock,Nets,45.41,284.08,13.01,1.43,3.16,45.09,1098
Ben Coleman,Nets,39.93,474.6,9.74,2.3,6.16,37.36,2628
Drazen Petrovic,Nets,57.12,1810.16,27.87,9.76,19.89,49.07,3178
Tom Chambers,Nets,52.07,1994.52,27.92,9.37,18.66,50.24,3274
Cedric Ceballos,Nets,50.1,478.0,17.85,2.41,4.92,48.98,1286
Dave Jamerson,Nets,52.88,799.04,18.91,4.38,9.13,47.93,2139
Rodney Monroe,Nets,50.0,4.0,9.73,0.38,0.74,50.98,16
Mitchell Jordan,Nets,54.56,1833.64,27.02,11.16,21.24,52.55,3326
Ennis Whatley,Nets,41.49,224.16,25.44,1.15,2.77,41.54,480
Dean Hart,Knicks,49.17,1390.08,24.6,7.31,14.74,49.61,2753
Bryce Coles,Knicks,35.64,19.64,17.09,0.77,2.06,37.52,67
Chris Dudley,Knicks,45.6,226.96,14.84,1.8,4.07,44.32,851
Kevin Duckworth,Knicks,47.27,1174.2,20.97,6.41,13.6,47.14,2810
Bill Walton,Knicks,44.19,540.8,15.7,2.86,6.96,41.07,1887
Clark Kellogg,Knicks,51.22,1434.04,23.89,8.69,17.07,50.92,3049
Rodney McCray,Knicks,52.86,381.2,19.07,2.65,5.24,50.5,1075
Kenny Walker,Knicks,52.53,226.52,19.33,1.36,2.7,50.33,611
Guy Williams,Knicks,55.25,208.16,20.77,1.14,2.3,49.43,522
Kevin Lynch,Knicks,52.94,1438.4,22.5,8.03,15.79,50.88,3219
Adrian Dantley,Knicks,50.37,648.16,17.78,4.53,9.41,48.21,2109
Danny Young,Knicks,54.22,669.52,14.03,4.95,11.48,43.07,3213
Elliot Perry,Knicks,44.81,109.36,15.36,1.09,2.46,44.2,390
Dikembe Mutombo,Magic,48.18,1187.28,25.6,6.46,14.36,44.97,2401
Torgeir Bryn,Magic,49.13,85.48,21.61,1.32,2.67,49.26,162
Hank Gathers,Magic,46.71,1511.56,33.57,7.7,16.3,47.27,2138
Dennis Rodman,Magic,47.34,687.56,15.98,3.92,9.36,41.9,2395
Scottie Pippen,Magic,46.58,755.64,18.66,4.28,9.51,45.04,2105
Glen Rice,Magic,52.09,784.24,17.53,5.18,10.9,47.51,2285
Dale Ellis,Magic,47.97,435.68,12.66,2.5,5.98,41.78,1827
J.R. Reid,Magic,50.26,358.12,20.95,2.07,4.31,47.99,904
John Starks,Magic,50.62,314.08,10.21,1.89,4.15,45.5,1557
Larry Drew,Magic,52.51,567.56,18.7,4.5,8.58,52.45,1684
Pooh Richardson,Magic,48.61,896.96,22.71,9.06,18.82,48.12,2188
Sleepy Floyd,Magic,51.58,32.96,23.87,0.97,1.78,54.72,67
Vlade Divac,76ers,48.7,781.32,12.56,4.16,8.62,48.31,3314
Alan Ogg,76ers,49.99,319.04,13.57,2.16,4.35,49.79,1101
Bison Dele,76ers,49.33,711.56,22.2,3.21,6.66,48.14,1567
