Player,team,TS%,TSA,Usage,Scoring Possessions,Possessions,Floor Percentage,MIN_player
Mark Buford,Celtics,47.13,966.4,20.27,5.93,12.5,47.4,2405
Deon Thomas,Celtics,45.55,486.28,20.05,2.95,6.73,43.85,1276
Charles Barkley,Celtics,47.41,1168.64,20.15,6.59,14.45,45.58,3014
Jevon Crudup,Celtics,42.97,38.4,17.42,0.74,1.65,44.58,114
Dino Radja,Celtics,43.65,397.48,18.31,2.03,4.77,42.51,1088
Oscar Schmidt,Celtics,56.49,689.48,14.01,4.18,7.95,52.51,2410
Sean Higgins,Celtics,60.09,114.0,18.68,0.87,1.63,53.19,316
Isaiah Rider,Celtics,55.08,1713.08,31.18,10.24,20.7,49.48,2907
Dee Brown,Celtics,50.96,1135.28,22.93,7.42,14.43,51.41,2514
Bryon Wilson,Celtics,50.89,110.04,12.79,0.73,1.52,48.19,492
Trevor Ruffin,Celtics,45.99,146.76,13.3,1.34,2.89,46.45,753
Craig Hodges,Celtics,46.79,476.64,12.67,4.83,10.46,46.24,2462
Elden Campbell,Heat,50.06,1068.68,18.19,6.22,11.96,51.97,2797
Greg Ostertag,Heat,48.87,535.04,13.59,3.2,6.35,50.34,1940
Kevin Garnett,Heat,45.69,884.2,16.66,4.98,10.66,46.66,2622
Les Jepsen,Heat,48.4,36.16,15.95,0.69,1.49,45.91,109
Scottie Pippen,Heat,52.24,1301.76,21.8,8.62,17.51,49.21,2779
Dennis Scott,Heat,55.61,1030.32,19.91,5.53,11.86,46.65,2559
Bryon Russell,Heat,59.04,29.64,12.15,0.55,1.12,48.82,165
Brian Quinnett,Heat,55.12,1980.08,28.58,11.36,20.86,54.44,3224
Grant Hill,Heat,48.11,616.32,18.34,4.21,8.9,47.26,1808
Anfernee Hardaway,Heat,55.36,1240.96,22.82,10.25,20.24,50.65,3098
Kevin Willis,Nets,47.99,528.24,11.16,3.31,7.03,47.11,2397
Kevin Salvadori,Nets,47.45,444.64,13.63,2.62,5.66,46.27,1553
LaSalle Thompson,Nets,41.83,41.84,14.53,0.64,1.59,40.33,147
Kevin Duckworth,Nets,52.22,767.88,16.22,5.24,10.36,50.65,2285
Don Maclean,Nets,48.3,684.28,21.48,3.83,8.17,46.94,1493
Robert Horry,Nets,53.66,1518.8,24.79,8.51,17.91,47.51,2880
Drazen Petrovic,Nets,56.44,979.76,20.82,6.6,13.97,47.22,2378
Bryan Buckner,Nets,48.99,149.0,18.53,1.28,2.99,42.87,423
Kevin Lynch,Nets,52.09,1061.56,28.34,9.1,17.9,50.85,1745
Steve Alford,Nets,53.73,277.32,22.13,1.96,3.94,49.8,633
Sam Cassell,Nets,48.38,1138.96,23.49,7.72,16.04,48.12,2333
Brent Price,Nets,52.02,591.16,19.58,3.72,7.86,47.26,1476
Eurelijus Zukauskas,Knicks,44.21,674.08,13.39,3.84,8.93,42.99,2606
Carlos Rogers,Knicks,49.68,515.32,20.02,2.97,6.33,46.9,1323
Acie Earl,Knicks,0.0,2.0,6.43,0.0,0.58,0.0,25
Micheal Smith,Knicks,0.0,2.88,16.04,0.05,0.66,7.99,19
Dontonio Wingfield,Knicks,45.23,828.0,16.73,4.58,10.31,44.43,2463
Chris Mills,Knicks,51.9,413.28,13.56,2.46,5.08,48.52,1493
Sherell Ford,Knicks,40.6,200.76,30.14,1.08,2.62,41.0,364
Eddie Jones,Knicks,52.5,846.6,14.1,4.66,9.58,48.67,2894
Mitchell Jordan,Knicks,54.0,1823.2,31.82,11.53,23.92,48.19,2921
Khalid Reeves,Knicks,54.94,1077.6,24.08,6.78,14.52,46.7,2347
Damon Stoudamire,Knicks,56.49,1086.92,20.09,6.58,13.9,47.34,2715
Mike Iuzzolino,Knicks,56.7,192.24,17.84,1.18,2.63,45.03,589
Rasheed Wallace,Magic,43.17,950.92,18.27,5.32,12.0,44.32,2556
Dragan Tarlac,Magic,44.56,742.88,16.93,4.02,9.79,41.05,2352
Randy Breuer,Magic,49.89,105.24,13.37,0.83,1.89,43.81,428
Loren Meyer,Magic,50.57,707.88,21.27,4.23,8.11,52.23,1555
Dennis Rodman,Magic,52.02,192.24,7.96,1.26,2.97,42.48,1427
Richard Dumas,Magic,50.93,654.84,14.27,3.68,7.97,46.24,2228
Lawrence Moten,Magic,55.21,283.48,19.65,2.25,4.54,49.53,722
Fred Hoiberg,Magic,53.1,1270.28,23.5,6.68,14.75,45.28,2684
Pooh Richardson,Magic,49.11,1335.88,25.26,10.08,21.55,46.79,2855
Howard Eisley,Magic,56.77,563.72,22.71,3.76,7.31,51.42,1232
Matt Maloney,Magic,42.42,40.08,18.47,1.12,2.63,42.75,98
Terry Porter,Magic,47.73,44.0,14.9,0.83,2.35,35.09,179
Elmer Bennett,Magic,50.0,4.0,33.41,0.49,1.31,37.36,6
Luc Longley,76ers,49.2,1382.0,24.4,7.48,15.43,48.48,2690
Roy Tarpley,76ers,51.19,1531.64,28.92,9.01,18.17,49.61,2584
Andrei Fetisov,76ers,51.57,825.08,26.66,4.47,8.59,52.06,1412
Lorenzo Williams,76ers,53.98,626.16,26.73,3.95,8.13,48.54,1208
Stacey Augmon,76ers,53.68,317.6,16.41,3.46,7.19,48.07,888
Antonio Davis,76ers,46.59,127.72,17.45,2.55,5.45,46.84,362
Tony Massenburg,76ers,48.47,338.32,14.62,3.42,7.59,45.05,1194
Clyde Drexler,76ers,52.65,669.52,16.05,5.01,9.97,50.3,2050
Mark Macon,76ers,53.55,317.44,13.25,2.51,5.26,47.65,1303
Cedric Ceballos,76ers,55.76,784.6,19.13,6.36,12.06,52.76,2098
Darrell Armstrong,76ers,50.5,750.44,14.45,8.22,15.31,53.7,2964
Gary Grant,76ers,44.44,156.4,14.04,1.49,2.88,51.81,616
Randy Brown,76ers,51.92,86.68,12.24,1.81,3.81,47.49,362
Clifford Rozier,Raptors,46.76,626.56,15.94,3.59,8.08,44.5,1984
Rodney Dent,Raptors,48.7,475.36,13.69,2.81,6.16,45.64,1804
Marlon Maxey,Raptors,49.52,862.24,28.05,4.87,10.25,47.55,1524
Marcelo Nicola,Raptors,47.33,297.92,13.37,2.03,4.46,45.45,1158
Chris Webber,Raptors,49.22,1452.8,28.67,8.85,18.4,48.11,2515
Glenn Robinson,Raptors,50.63,1041.8,20.91,5.59,12.76,43.83,2538
Aaron McKie,Raptors,52.98,639.92,16.76,3.81,7.74,49.15,1797
Calbert Cheaney,Raptors,52.6,664.4,15.3,3.88,8.03,48.33,2145
Hubert Davis,Raptors,54.77,66.64,11.19,1.7,3.42,49.79,268
Curtis Blair,Raptors,39.11,161.08,15.2,4.84,10.97,44.13,470
Damon Bailey,Raptors,46.62,727.12,21.2,5.23,11.04,47.38,1870
Terry Dehere,Raptors,52.1,720.76,24.42,5.48,12.12,45.17,1621
LeRon Ellis,Hawks,47.07,1014.44,21.1,5.56,12.79,43.47,2451
Mario Bennett,Hawks,49.98,822.32,18.37,4.63,9.53,48.63,2158
Brian Grant,Hawks,46.45,987.16,21.19,5.03,11.06,45.5,2214
Wayman Tisdale,Hawks,47.95,661.08,21.02,3.66,7.84,46.68,1552
Brett Roberts,Hawks,53.41,1114.96,21.85,7.29,15.45,47.17,2624
Gregory Lynch,Hawks,31.35,12.76,17.44,0.35,0.99,35.68,46
Ed O'Bannon,Hawks,49.74,237.24,14.6,1.29,2.66,48.43,786
Allan Houston,Hawks,52.08,748.84,14.12,4.37,8.97,48.72,2565
Harold Miner,Hawks,55.72,527.6,19.02,3.31,6.4,51.72,1383
Rod Strickland,Hawks,52.79,1452.88,22.69,10.33,20.23,51.04,3279
Mahmoud Abdul-Rauf,Hawks,58.06,203.24,19.27,1.91,3.5,54.62,565
Winston Garland,Hawks,50.15,52.84,25.22,2.86,5.24,54.67,102
Rik Smits,Hornets,48.2,1234.4,21.79,7.37,15.54,47.42,2701
Ervin Johnson,Hornets,48.9,531.72,15.58,2.93,6.32,46.35,1661
Jon Koncak,Hornets,46.82,605.56,12.94,3.82,8.59,44.48,2339
John Salley,Hornets,46.95,739.12,17.43,4.19,8.96,46.79,1954
Walt Williams,Hornets,54.79,1239.28,21.99,7.43,15.23,48.77,2796
Kornél Dávid,Hornets,,0.0,0.0,0.0,0.0,,5
George Banks,Hornets,50.0,5.0,8.59,0.33,0.69,47.45,25
Wesley Person,Hornets,55.7,1482.96,25.76,9.02,17.92,50.32,2668
Sasha Danilovic,Hornets,55.53,1181.44,24.15,7.24,14.97,48.37,2441
Rex Walters,Hornets,50.23,167.24,14.66,0.85,1.99,42.86,558
Jim Brogan,Hornets,53.46,1137.4,21.34,9.54,17.12,55.71,2489
Scott Skiles,Hornets,49.18,305.0,17.85,5.55,11.55,48.05,855
Jon Sundvold,Hornets,57.82,304.4,19.65,3.34,6.0,55.7,834
George Ackles,Bulls,49.47,1039.04,22.22,6.45,14.26,45.22,2412
Charles Claxton,Bulls,46.75,385.04,16.14,2.32,5.05,46.01,1170
Jerrod Mustaf,Bulls,41.73,492.44,17.3,2.55,5.96,42.73,1451
Alec Kessler,Bulls,49.69,57.36,24.8,1.62,3.27,49.57,114
Larry Johnson,Bulls,53.0,911.36,21.78,8.88,16.45,54.02,2012
Billy Owens,Bulls,50.12,959.64,17.4,5.42,11.34,47.81,2694
Gerald King,Bulls,48.87,504.4,12.49,2.89,6.79,42.6,2128
George Lynch,Bulls,27.57,5.44,10.72,0.14,0.38,37.49,30
Jerome Allen,Bulls,43.34,51.92,13.75,0.66,1.61,40.97,169
Dell Curry,Bulls,50.07,494.32,16.92,3.21,7.11,45.15,1705
Terrell Brandon,Bulls,50.68,1749.04,26.98,11.89,23.65,50.28,3298
Eric Murdock,Bulls,55.01,1213.32,22.36,7.48,15.05,49.67,2635
John Amaechi,Cavaliers,48.53,722.28,24.91,3.86,8.04,48.03,1363
Hakeem Olajuwon,Cavaliers,52.84,1373.92,28.09,8.69,17.82,48.78,2481
Patrick Ewing,Cavaliers,49.46,1101.92,23.51,5.98,12.97,46.09,2333
Junior Burrough,Cavaliers,53.8,1041.76,20.46,6.7,12.95,51.72,2482
Buck Williams,Cavaliers,44.76,312.8,23.71,3.08,6.96,44.23,656
Dale Davis,Cavaliers,39.28,50.92,17.34,2.8,6.64,42.13,121
Larry Nance,Cavaliers,52.09,594.16,17.38,3.8,7.55,50.31,1754
Lou Roe,Cavaliers,63.29,12.64,20.02,1.01,2.09,48.48,47
Ken Barlow,Cavaliers,56.25,205.32,18.88,3.84,7.5,51.25,516
A.J. English,Cavaliers,53.18,731.44,15.51,5.6,10.66,52.53,2324
Reggie Lewis,Cavaliers,48.63,494.52,15.89,2.95,6.69,44.17,1642
Magic Johnson,Cavaliers,52.64,817.76,19.18,8.38,15.38,54.51,2280
Derrick Phelps,Cavaliers,53.82,244.32,12.11,3.5,6.25,56.03,1158
David Rivers,Cavaliers,50.61,181.8,17.04,2.75,5.57,49.37,658
Jim McIlvaine,Pistons,48.31,1088.8,19.15,6.13,12.44,49.23,2571
Duane Causwell,Pistons,46.94,651.96,22.88,3.47,7.31,47.48,1309
Gheorghe Muresan,Pistons,54.75,457.56,15.53,3.03,5.57,54.35,1379
Mark Alarie,Pistons,49.19,911.8,15.78,5.23,10.5,49.8,2622
Terry Mills,Pistons,55.71,766.52,21.89,4.16,8.37,49.75,1564
Jamal Mashburn,Pistons,51.75,529.44,22.26,3.1,6.83,45.44,1168
Lance Blanks,Pistons,52.4,1416.0,23.87,8.05,16.32,49.31,2666
Latrell Sprewell,Pistons,52.18,990.76,18.47,5.93,11.62,51.08,2500
Aleksandar Dordevic,Pistons,50.0,7.0,33.99,0.78,2.08,37.25,10
Tim Hardaway,Pistons,52.32,1129.48,20.27,8.53,17.83,47.83,2967
Muggsy Bogues,Pistons,42.94,319.08,20.01,2.48,5.63,44.14,855
Travis Best,Pistons,42.39,43.64,17.7,2.45,6.19,39.58,120
Alvaro Teheran,Pacers,47.2,32.84,10.65,0.58,1.15,50.19,120
Theo Ratliff,Pacers,47.78,679.16,14.39,3.89,8.37,46.51,2299
Loy Vaught,Pacers,50.44,1487.76,26.05,8.83,16.92,52.15,2610
Vin Baker,Pacers,49.04,1011.52,22.17,5.45,11.17,48.79,2105
Derrick Chievous,Pacers,52.3,704.6,18.12,4.32,9.27,46.64,1985
Shaun Vandiver,Pacers,47.27,283.48,16.82,1.57,3.62,43.45,822
Jerry Stackhouse,Pacers,53.59,1400.44,25.96,8.16,17.41,46.88,2688
Kenny Payne,Pacers,54.58,696.28,13.31,4.42,8.75,50.54,2486
Phil Henderson,Pacers,48.34,258.6,18.73,1.49,3.08,48.51,676
John Stockton,Pacers,52.6,1110.2,19.86,8.47,16.68,50.8,2896
Frankie King,Pacers,52.28,462.88,22.88,3.61,7.02,51.42,1047
Mark Jackson,Pacers,0.0,3.0,39.07,0.37,2.56,14.45,3
Vlade Divac,Bucks,51.41,1381.92,22.57,8.25,16.13,51.18,2937
Shawn Bradley,Bucks,49.85,792.32,14.82,4.64,10.06,46.1,2721
Brad Sellers,Bucks,52.76,762.96,19.14,4.38,8.45,51.83,1877
Kurt Thomas,Bucks,58.12,57.64,12.09,0.84,1.39,59.96,214
Kenny Gattison,Bucks,46.25,37.84,15.17,0.57,1.33,42.84,138
Toni Kukoc,Bucks,52.27,661.96,13.2,3.98,8.69,45.74,2588
Doug Edwards,Bucks,54.11,483.28,16.93,2.92,5.53,52.8,1361
Kendall Gill,Bucks,56.46,1782.76,28.79,11.34,21.71,52.25,2905
Dave Jamerson,Bucks,48.5,282.48,14.6,1.73,3.78,45.79,961
Sarunas Marciulionis,Bucks,52.68,31.32,15.71,1.83,4.19,43.64,101
Mookie Blaylock,Bucks,52.28,1498.68,24.54,11.12,21.82,50.95,3199
Avery Johnson,Bucks,46.55,184.76,14.04,1.52,2.98,51.22,711
Brad Daugherty,Bullets,51.21,1328.72,25.56,8.13,15.54,52.29,2495
Isaac Austin,Bullets,48.04,292.48,18.83,1.64,3.38,48.56,765
Popeye Jones,Bullets,47.25,582.0,14.46,3.45,7.34,47.04,2087
Juwan Howard,Bullets,46.59,1068.88,20.96,6.13,13.19,46.45,2516
Jamie Watson,Bullets,50.13,403.96,14.02,2.37,4.72,50.3,1414
Eric Williams,Bullets,53.46,455.52,9.56,2.58,5.77,44.67,2541
Scott Burrell,Bullets,33.33,3.0,13.09,0.12,0.36,33.25,15
Mitch Richmond,Bullets,55.77,1689.12,29.89,9.46,20.08,47.11,2907
Todd Day,Bullets,52.29,437.92,20.5,2.4,4.99,48.11,1058
Kenny Anderson,Bullets,53.22,1319.16,22.43,10.37,19.59,52.92,3147
Rick Brunson,Bullets,42.48,217.76,15.45,1.73,3.65,47.56,804
Bison Dele,Mavericks,44.7,1053.76,21.45,5.4,12.3,43.87,2438
Milos Babic,Mavericks,44.46,747.84,19.05,3.79,8.69,43.55,1909
Felton Spencer,Mavericks,46.55,251.36,14.77,1.46,3.21,45.33,895
Benoit Benjamin,Mavericks,48.03,689.16,14.28,3.95,9.34,42.34,2650
Chris Mullin,Mavericks,53.33,883.12,21.34,5.22,11.44,45.68,2102
Aaron Williams,Mavericks,44.62,487.44,12.5,2.49,5.82,42.84,1881
Jim Jackson,Mavericks,58.68,2021.0,31.38,12.49,24.84,50.29,3244
Bobby Phills,Mavericks,49.79,226.96,13.41,1.92,4.24,45.33,863
Donny Marshall,Mavericks,,0.0,0.0,0.18,0.18,100.0,11
Kevin Ollie,Mavericks,50.34,1356.64,22.22,9.77,18.85,51.86,3098
Derek Harper,Mavericks,51.62,263.48,16.52,2.3,4.11,56.05,783
Charlie Ward,Mavericks,47.22,248.84,19.53,1.51,3.37,44.8,645
David Robinson,Nuggets,52.57,919.76,28.68,10.09,19.39,52.03,1537
Shawnelle Scott,Nuggets,47.44,1050.72,23.2,5.86,12.67,46.19,2191
Steve Stipanovich,Nuggets,50.18,266.04,17.24,2.34,4.82,48.59,832
Hank Gathers,Nuggets,50.19,1452.48,23.83,8.11,16.14,50.26,2856
Greg Foster,Nuggets,51.41,92.4,11.6,2.16,4.75,45.48,401
Donyell Marshall,Nuggets,54.21,1486.88,24.99,8.69,17.1,50.8,2891
Clark Kellogg,Nuggets,51.19,700.28,18.41,4.47,8.76,51.08,1861
Aaron Swinson,Nuggets,55.65,36.84,14.86,1.91,3.39,56.29,110
Byron Irvin,Nuggets,52.29,899.72,16.77,5.19,11.04,46.96,2670
Robert Churchwell,Nuggets,,0.0,11.12,0.18,0.68,27.01,3
Dan Majerle,Nuggets,53.84,153.24,11.29,0.96,1.94,49.42,705
Jalen Rose,Nuggets,49.96,827.6,15.95,7.6,15.31,49.6,3097
Mark Price,Nuggets,54.94,135.6,19.48,3.01,6.3,47.88,332
Leon Wood,Nuggets,48.76,98.44,13.38,1.98,3.96,49.89,509
Dikembe Mutombo,Rockets,48.31,972.84,16.94,5.81,12.67,45.83,2948
Manute Bol,Rockets,44.69,218.16,11.07,1.13,2.67,42.41,979
Doug Smith,Rockets,51.69,1321.32,23.37,7.6,14.75,51.55,2649
Karl Malone,Rockets,50.16,382.8,18.84,2.8,5.78,48.42,1008
Chris Washburn,Rockets,35.95,90.4,13.06,1.31,3.52,37.33,311
Kenny Williams,Rockets,53.98,763.24,14.8,4.37,9.14,47.78,2517
Reggie Williams,Rockets,50.57,225.44,12.8,1.3,2.71,47.88,857
Landon Mihalik,Rockets,55.78,316.44,11.5,2.01,4.17,48.25,1411
James Worthy,Rockets,33.33,6.0,15.93,0.74,3.2,23.1,25
