Player,team,TS%,TSA,Usage,Scoring Possessions,Possessions,Floor Percentage,MIN_player
Duane Causwell,Celtics,51.46,172.96,15.61,4.58,8.94,51.26,535
Mike Gminski,Celtics,45.2,181.4,17.73,4.21,9.06,46.51,483
Will Perdue,Celtics,42.86,50.16,13.46,1.14,2.8,40.64,205
Mark Alarie,Celtics,54.46,214.84,15.92,5.89,10.23,57.6,605
Oscar Schmidt,Celtics,58.86,364.44,26.46,9.13,17.17,53.17,652
Isaiah Morris,Celtics,52.66,78.8,15.05,2.27,4.31,52.58,251
Anthony Bonner,Celtics,25.0,4.0,8.42,0.18,0.73,24.85,22
Byron Scott,Celtics,58.64,362.4,24.29,10.18,19.35,52.59,737
Jonathan Longley,Celtics,54.56,50.4,14.37,1.38,2.76,50.03,178
Craig Hodges,Celtics,51.39,266.6,21.14,8.4,16.75,50.18,659
Bimbo Coles,Celtics,54.45,101.92,21.56,3.54,6.65,53.28,258
Brian Shaw,Celtics,,0.0,0.0,0.0,0.0,,1
Elden Campbell,Heat,51.2,372.08,29.57,8.29,16.36,50.68,648
Luc Longley,Heat,48.63,393.8,28.97,8.3,16.78,49.49,682
Reggie Cross,Heat,63.13,27.72,33.44,1.42,2.45,58.17,57
Don Maclean,Heat,46.8,151.72,19.58,3.21,7.04,45.58,444
Terry Davis,Heat,44.88,53.48,18.41,1.17,2.66,44.09,173
Robert Horry,Heat,56.5,161.96,17.03,5.74,11.41,50.33,533
Jim Lampley,Heat,40.16,224.12,24.13,4.04,9.69,41.67,476
Jim Farmer,Heat,53.81,132.88,12.49,4.91,10.33,47.51,739
Jimmy Oliver,Heat,56.97,135.16,13.88,4.25,7.45,57.05,477
Michael Adams,Heat,50.53,127.64,15.42,3.25,7.09,45.87,511
Litterial Green,Heat,49.3,51.72,12.72,1.67,3.92,42.64,296
Norm Nixon,Heat,,0.0,0.0,0.0,0.0,,2
Benoit Benjamin,Nets,48.55,197.72,15.81,4.47,10.58,42.25,681
Les Jepsen,Nets,50.04,134.88,15.41,3.23,6.71,48.12,433
Ethan Carr,Nets,,0.0,0.0,0.0,0.0,,2
Terry Cummings,Nets,52.49,111.44,14.01,2.7,6.14,43.91,443
Ben Coleman,Nets,55.66,53.0,9.16,2.29,5.15,44.43,377
Drazen Petrovic,Nets,55.38,399.08,26.8,9.13,19.41,47.05,738
Tom Chambers,Nets,51.74,401.08,25.1,8.32,16.92,49.19,736
Dave Jamerson,Nets,68.38,54.84,13.26,3.27,6.24,52.39,216
Mitchell Jordan,Nets,51.84,395.48,25.81,9.99,20.33,49.15,749
Carson Nichols,Nets,55.15,208.52,19.63,5.77,11.52,50.04,526
Duane Cooper,Nets,44.04,44.28,24.08,1.03,2.69,38.06,107
Roberto Zimmermann,Nets,45.55,9.88,15.2,0.46,1.1,41.37,32
Dean Hart,Knicks,43.71,51.48,24.31,1.43,2.95,48.48,91
Bryce Coles,Knicks,103.09,3.88,29.11,1.11,1.04,106.42,6
Kevin Duckworth,Knicks,49.28,338.88,21.73,6.87,13.95,49.25,771
Buck Williams,Knicks,42.17,342.64,24.22,5.72,13.55,42.25,684
Sean Higgins,Knicks,51.51,299.92,23.25,6.05,12.87,46.97,659
Clark Kellogg,Knicks,52.82,315.2,21.65,6.96,13.91,50.04,764
Guy Williams,Knicks,50.51,74.24,22.87,1.46,2.83,51.69,150
Kevin Lynch,Knicks,51.13,359.88,21.61,7.31,15.25,47.94,852
Danny Young,Knicks,53.1,80.04,8.4,2.1,4.97,42.36,621
David Rivers,Knicks,53.56,188.56,16.22,6.67,12.85,51.96,732
Lee Mayberry,Knicks,53.11,66.84,16.93,2.0,4.09,48.95,241
Dikembe Mutombo,Magic,50.2,275.92,21.55,6.41,13.93,46.02,672
Scott Williams,Magic,42.9,82.76,16.04,1.7,3.98,42.68,265
Hank Gathers,Magic,50.01,350.92,25.94,7.81,16.46,47.45,679
Dennis Rodman,Magic,45.83,67.64,13.2,1.56,3.91,39.85,293
Tom Hammonds,Magic,0.0,1.0,5.3,0.0,0.73,0.0,8
Scottie Pippen,Magic,47.89,111.72,16.45,2.51,5.57,45.0,344
Glen Rice,Magic,53.01,273.52,21.08,6.65,12.91,51.54,624
Dennis Hopson,Magic,50.78,244.2,18.68,5.68,12.43,45.7,675
Anthony Peeler,Magic,49.11,89.6,17.22,2.02,4.35,46.46,276
Pooh Richardson,Magic,45.36,227.08,19.0,6.85,15.24,44.96,704
Elmer Bennett,Magic,50.99,106.88,23.39,3.05,6.36,48.02,256
Vlade Divac,76ers,46.48,231.28,15.73,4.6,9.93,46.35,775
Milos Babic,76ers,46.19,102.84,20.7,2.22,5.28,42.02,255
Bison Dele,76ers,46.09,137.76,19.12,2.57,5.58,46.05,368
Roy Tarpley,76ers,52.65,421.64,27.93,8.38,16.59,50.53,763
Derrick McKey,76ers,35.43,9.88,17.12,0.32,1.18,27.39,36
Stefano Rusconi,76ers,54.44,298.52,21.2,6.0,11.68,51.39,721
Sarunas Marciulionis,76ers,53.42,208.72,21.51,3.93,8.97,43.76,511
Rex Chapman,76ers,57.84,236.88,18.94,5.73,10.84,52.89,680
Chris Morris,76ers,55.97,233.16,18.53,4.96,10.63,46.68,697
Jon Sundvold,76ers,53.42,247.08,16.6,6.95,13.59,51.15,859
Darrell Armstrong,76ers,70.0,10.0,17.89,1.05,1.45,72.41,31
Curtis Blair,76ers,39.15,17.88,19.63,0.83,2.25,37.08,65
Greg Butler,Raptors,48.99,157.16,13.08,3.84,8.52,45.07,638
Nigel Gottlieb,Raptors,26.28,13.32,25.8,0.78,2.59,29.91,33
Jamie Benshoof,Raptors,48.89,95.12,13.07,2.18,4.33,50.3,358
Frank Kornet,Raptors,50.98,395.28,36.44,8.09,15.6,51.85,488
Alec Kessler,Raptors,49.08,484.92,36.29,9.68,20.9,46.3,643
Michael Brooks,Raptors,51.72,86.04,18.19,2.28,4.63,49.28,249
John Williams,Raptors,48.91,207.52,14.84,5.1,9.86,51.74,674
Dennis Johnson,Raptors,47.54,28.4,11.55,1.83,3.97,46.02,100
Steve Rogers,Raptors,46.66,76.08,21.9,3.06,7.37,41.45,185
Hubert Davis,Raptors,47.51,118.92,10.7,2.49,5.96,41.74,575
John Starks,Raptors,50.97,18.64,9.92,2.03,6.21,32.64,120
John Paxson,Raptors,53.42,281.72,17.62,9.43,16.09,58.65,781
Kelvin Ransey,Raptors,47.74,62.84,14.04,2.05,3.94,51.94,240
Sam Bowie,Hawks,42.18,238.28,21.43,5.07,13.56,37.43,603
Rich King,Hawks,48.72,129.32,24.72,2.83,6.36,44.57,266
Wayman Tisdale,Hawks,48.79,299.24,25.18,7.67,16.35,46.93,616
Anthony Mason,Hawks,55.65,101.52,20.31,3.04,5.78,52.54,255
